¿Qué país tiene forma de bota?,Italia,Portugal,Grecia,Chile,Media,Geografía
¿Qué vitamina produce el sol en el cuerpo?,Vitamina D,Vitamina C,Vitamina A,Vitamina B,Media,Ciencia
¿Qué animal cambia de color?,Camaleón,Pulpo,Delfín,Perro,Media,Naturaleza
¿Qué civilización creó el calendario maya?,Maya,Azteca,Inca,Olmeca,Media,Historia
¿Qué río es el más largo de Europa?,Volga,Danubio,Rin,Loira,Media,Geografía
¿Qué metal es líquido a temperatura ambiente?,Mercurio,Plomo,Aluminio,Hierro,Media,Ciencia
¿Qué animal tiene ecolocalización?,Murciélago,Águila,Serpiente,Gato,Media,Naturaleza
¿Quién fue el primer emperador romano?,Augusto,César,Nerón,Calígula,Media,Historia
¿Dónde se encuentra el lago Titicaca?,Perú y Bolivia,Chile,Argentina,Ecuador,Media,Geografía
¿Qué fuerza mantiene a los planetas en órbita?,Gravedad,Magnetismo,Inercia,Presión,Media,Ciencia
¿Qué animal es símbolo de China?,Dragón,Tigre,Panda,Serpiente,Media,Naturaleza
¿Dónde está el desierto de Atacama?,Chile,Perú,Bolivia,Argentina,Muy Difícil,Geografía
¿Qué elemento químico tiene símbolo Sb?,Antimonio,Estaño,Plomo,Azufre,Muy Difícil,Ciencia
¿Qué cultura construyó Caral?,Norte Chico,Maya,Inca,Olmeca,Muy Difícil,Historia
¿Qué animal tiene sangre azul?,Cangrejo herradura,Pulpo,Tiburón,Medusa,Muy Difícil,Naturaleza
¿Dónde se encuentra el mar de Laptev?,Ártico ruso,Mar Báltico,Mar Negro,Mar Caspio,Muy Difícil,Geografía
¿Qué científico descubrió la radiactividad natural?,Becquerel,Curie,Rutherford,Fermi,Muy Difícil,Ciencia
¿Qué imperio tuvo capital en Tenochtitlán?,Azteca,Maya,Inca,Olmeca,Muy Difícil,Historia
¿Qué animal puede sobrevivir al vacío espacial?,Tardígrado,Cucaracha,Hormiga,Escorpión,Muy Difícil,Naturaleza
¿Dónde está el desierto de Rub al-Jali?,Península arábiga,Sáhara,Gobi,Kalahari,Muy Difícil,Geografía
¿Qué elemento tiene número atómico 74?,Wolframio,Osmio,Iridio,Tántalo,Muy Difícil,Ciencia
¿Qué civilización usó las líneas de Nazca?,Nazca,Inca,Moche,Chimú,Muy Difícil,Historia
¿Qué animal tiene tres corazones?,Pulpo,Calamar,Tiburón,Ballena,Muy Difícil,Naturaleza
¿Dónde se encuentra el monte Elbrus?,Rusia,Georgia,Turquía,Armenia,Muy Difícil,Geografía
¿Qué científico formuló la ley de gases ideales?,Clapeyron,Boyle,Avogadro,Dalton,Muy Difícil,Ciencia
¿Qué reino africano comerciaba con oro en Tombuctú?,Imperio de Malí,Songhai,Aksum,Zimbabue,Muy Difícil,Historia
¿Qué animal tiene el cerebro más grande proporcionalmente?,Hormiga,Delfín,Humano,Cuervo,Muy Difícil,Naturaleza
¿Dónde se localiza la fosa de Tonga?,Océano Pacífico,Índico,Atlántico,Ártico,Muy Difícil,Geografía
¿Qué elemento químico es altamente radiactivo y natural?,Polonio,Uranio,Torio,Radio,Muy Difícil,Ciencia
¿Qué civilización construyó Göbekli Tepe?,Neolítica,Sumeria,Hitita,Asiria,Muy Difícil,Historia
¿Qué animal puede regenerar órganos internos?,Pepino de mar,Estrella de mar,Salamandra,Medusa,Muy Difícil,Naturaleza
Pregunta,RespuestaCorrecta,Opcion2,Opcion3,Opcion4,Dificultad,Categoria
¿Cuál es la capital de Portugal?,Lisboa,Oporto,Coímbra,Faro,Fácil,Geografía
¿Qué animal es conocido por sus rayas?,Cebra,Tigre,Jirafa,Okapi,Fácil,Naturaleza
¿Cuántos continentes hay?,Siete,Cinco,Seis,Ocho,Fácil,Geografía
¿Qué gas usan las plantas?,Dióxido de carbono,Oxígeno,Nitrógeno,Helio,Fácil,Ciencia
¿Quién fue el primer presidente de España?,Adolfo Suárez,Calvo Sotelo,Azaña,Franco,Fácil,Historia
¿Qué animal vive en el agua?,Pez,Perro,Gato,Mono,Fácil,Naturaleza
¿Cuál es el planeta azul?,Tierra,Neptuno,Urano,Venus,Fácil,Ciencia
¿En qué país está Madrid?,España,Portugal,Francia,Italia,Fácil,Geografía
¿Qué animal dice miau?,Gato,Perro,Vaca,Caballo,Fácil,Naturaleza
¿Cuántos huesos tiene un adulto?,206,201,210,180,Fácil,Ciencia
¿Qué océano está entre América y Europa?,Atlántico,Pacífico,Índico,Ártico,Fácil,Geografía
¿Qué animal es doméstico?,Perro,León,Tigre,Lobo,Fácil,Naturaleza
¿Quién descubrió la penicilina?,Fleming,Pasteur,Koch,Lister,Fácil,Ciencia
¿En qué país está Roma?,Italia,Grecia,Francia,España,Fácil,Geografía
¿Qué órgano usamos para ver?,Ojos,Oídos,Piel,Nariz,Fácil,Ciencia
¿En qué país está el Everest?,Nepal,India,China,Bhután,Media,Geografía
¿Qué animal es ovíparo?,Tortuga,Perro,Gato,Elefante,Media,Naturaleza
¿Qué científico propuso la evolución?,Darwin,Lamarck,Mendel,Wallace,Media,Ciencia
¿Qué civilización construyó Angkor Wat?,Jemer,India,China,Tailandia,Media,Historia
¿Qué río pasa por Londres?,Támesis,Sena,Rin,Elba,Media,Geografía
¿Qué mineral forma los diamantes?,Carbono,Sílice,Calcio,Hierro,Media,Ciencia
¿Qué animal hiberna?,Oso,Caballo,Vaca,Cabra,Media,Naturaleza
¿Quién fue Cleopatra?,Reina egipcia,Filósofa griega,Diosa romana,Emperatriz china,Media,Historia
¿Qué país tiene más volcanes activos?,Indonesia,Islandia,Japón,Italia,Media,Geografía
¿Qué hormona regula el sueño?,Melatonina,Insulina,Adrenalina,Serotonina,Media,Ciencia
¿Qué animal es un anfibio?,Rana,Serpiente,Paloma,Perro,Media,Naturaleza
¿Qué imperio construyó Petra?,Nabateo,Romano,Persa,Asirio,Media,Historia
¿Qué mar es el más salado?,Mar Muerto,Mar Rojo,Mar Negro,Mar Caspio,Media,Geografía
¿Qué partícula tiene carga negativa?,Electrón,Protón,Neutrón,Positrón,Media,Ciencia
¿Qué animal usa sonar natural?,Delfín,Tiburón,Atún,Foca,Media,Naturaleza
¿Dónde está el desierto de Simpson?,Australia,Sudáfrica,EEUU,India,Muy Difícil,Geografía
¿Qué elemento tiene símbolo Cs?,Cesio,Calcio,Cromo,Cobalto,Muy Difícil,Ciencia
¿Qué cultura construyó Tiahuanaco?,Tiwanaku,Inca,Moche,Nazca,Muy Difícil,Historia
¿Qué animal puede detener su metabolismo?,Tardígrado,Escarabajo,Serpiente,Rana,Muy Difícil,Naturaleza
¿Dónde está el mar de Kara?,Ártico ruso,Báltico,Negro,Caspio,Muy Difícil,Geografía
¿Qué científico descubrió el neutrón?,Chadwick,Bohr,Rutherford,Dirac,Muy Difícil,Ciencia
¿Qué imperio tuvo capital en Cuzco?,Inca,Maya,Azteca,Olmeca,Muy Difícil,Historia
¿Qué animal tiene visión ultravioleta?,Abeja,Águila,Gato,Perro,Muy Difícil,Naturaleza
¿Dónde se encuentra el desierto de Dasht-e Lut?,Irán,Afganistán,Pakistán,Iraq,Muy Difícil,Geografía
¿Qué elemento tiene número atómico 52?,Telurio,Estaño,Yodo,Antimonio,Muy Difícil,Ciencia
¿Qué civilización construyó Mohenjo-Daro?,Valle del Indo,Sumeria,Egipcia,China,Muy Difícil,Historia
¿Qué animal puede vivir sin oxígeno temporalmente?,Carpa,Tiburón,Delfín,Ballena,Muy Difícil,Naturaleza
¿Dónde está el monte Aconcagua?,Argentina,Chile,Perú,Bolivia,Muy Difícil,Geografía
¿Qué científico formuló la teoría electromagnética?,Maxwell,Faraday,Tesla,Hertz,Muy Difícil,Ciencia
¿Qué reino africano controló Gran Zimbabue?,Zimbabue medieval,Aksum,Mali,Songhai,Muy Difícil,Historia
¿Qué animal puede regenerar el cerebro?,Planaria,Salamandra,Estrella de mar,Pulpo,Muy Difícil,Naturaleza
¿Dónde se encuentra el mar de Amundsen?,Antártida,Ártico,Pacífico,Índico,Muy Difícil,Geografía
¿Qué elemento químico es extremadamente reactivo con agua?,Sodio,Hierro,Cobre,Zinc,Muy Difícil,Ciencia
¿Qué civilización levantó Stonehenge?,Neolítica,Celta,Romana,Vikinga,Muy Difícil,Historia
¿Qué animal puede cambiar de sexo?,Pez payaso,Tiburón,Atún,Ballena,Muy Difícil,Naturaleza
¿Dónde está la meseta de Pamir?,Asia Central,India,China oriental,Europa,Muy Difícil,Geografía
¿Qué elemento tiene símbolo Rb?,Rubidio,Rodio,Renio,Rutenio,Muy Difícil,Ciencia
¿Qué imperio usó la escritura quipu?,Inca,Maya,Azteca,Olmeca,Muy Difícil,Historia
¿Qué animal puede detectar campos eléctricos?,Tiburón,Delfín,Foca,Orca,Muy Difícil,Naturaleza
Pregunta,RespuestaCorrecta,Opcion2,Opcion3,Opcion4,Dificultad,Categoria
¿Cuál es la capital de Suiza?,Berna,Zúrich,Ginebra,Basilea,Fácil,Geografía
¿Qué animal es conocido por su caparazón?,Tortuga,Perro,Gato,Caballo,Fácil,Naturaleza
¿Cuántas horas tiene un día?,24,12,48,36,Fácil,Ciencia
¿Quién fue Simón Bolívar?,Libertador americano,Rey español,Explorador,Filósofo,Fácil,Historia
¿Qué planeta tiene anillos visibles?,Saturno,Júpiter,Marte,Venus,Fácil,Ciencia
¿En qué continente está Canadá?,América del Norte,Europa,Asia,Oceanía,Fácil,Geografía
¿Qué animal produce miel?,Abeja,Hormiga,Avispa,Mariposa,Fácil,Naturaleza
¿Cuál es el metal del oro?,Oro,Plata,Cobre,Hierro,Fácil,Ciencia
¿En qué país está el Coliseo?,Italia,Grecia,España,Francia,Fácil,Historia
¿Qué órgano usamos para oír?,Oídos,Ojos,Nariz,Piel,Fácil,Ciencia
¿Qué océano rodea la Antártida?,Océano Austral,Atlántico,Índico,Pacífico,Fácil,Geografía
¿Qué animal es un felino?,Gato,Perro,Caballo,Vaca,Fácil,Naturaleza
¿Quién descubrió América en 1492?,Colón,Magallanes,Elcano,Cortés,Fácil,Historia
¿Qué estado del agua es el hielo?,Sólido,Líquido,Gaseoso,Plasma,Fácil,Ciencia
¿Cuántos colores tiene el arcoíris?,Siete,Cinco,Ocho,Seis,Fácil,Ciencia
¿En qué país está el Kilimanjaro?,Tanzania,Kenia,Uganda,Etiopía,Media,Geografía
¿Qué animal es un primate?,Chimpancé,Perro,Gato,Elefante,Media,Naturaleza
¿Qué científico descubrió la electricidad atmosférica?,Franklin,Tesla,Edison,Volta,Media,Ciencia
¿Qué civilización construyó Chichén Itzá?,Maya,Azteca,Inca,Olmeca,Media,Historia
¿Qué río cruza Egipto?,Nilo,Éufrates,Tigris,Jordán,Media,Geografía
¿Qué vitamina es soluble en grasa?,Vitamina A,Vitamina C,Vitamina B,Vitamina B12,Media,Ciencia
¿Qué animal tiene veneno?,Serpiente,Perro,Caballo,Vaca,Media,Naturaleza
¿Quién fue Julio César?,General romano,Faraón,Rey persa,Filósofo,Media,Historia
¿Qué país tiene forma alargada?,Chile,Italia,España,Noruega,Media,Geografía
¿Qué metal es usado en latas?,Aluminio,Hierro,Cobre,Plomo,Media,Ciencia
¿Qué animal puede volar?,Murciélago,Avestruz,Pingüino,Gallina,Media,Naturaleza
¿Quién fue Marco Polo?,Explorador veneciano,Rey romano,Pirata,Vikingo,Media,Historia
¿Qué lago es el más profundo?,Baikal,Titicaca,Victoria,Superior,Media,Geografía
¿Qué fuerza actúa en un imán?,Magnetismo,Gravedad,Inercia,Presión,Media,Ciencia
¿Qué animal es un artrópodo?,Araña,Serpiente,Rana,Perro,Media,Naturaleza
¿Dónde está el desierto de Thar?,India y Pakistán,Irán,China,Mongolia,Muy Difícil,Geografía
¿Qué elemento tiene símbolo Ga?,Galio,Germanio,Gadolinio,Grafito,Muy Difícil,Ciencia
¿Qué cultura construyó Chan Chan?,Chimú,Inca,Nazca,Moche,Muy Difícil,Historia
¿Qué animal sobrevive a radiación extrema?,Tardígrado,Cucaracha,Rata,Escorpión,Muy Difícil,Naturaleza
¿Dónde se encuentra el mar de Beaufort?,Ártico,Pacífico,Índico,Atlántico,Muy Difícil,Geografía
¿Qué científico descubrió el electrón?,Thomson,Rutherford,Bohr,Chadwick,Muy Difícil,Ciencia
¿Qué imperio tuvo capital en Babilonia?,Babilónico,Asirio,Hitita,Persa,Muy Difícil,Historia
¿Qué animal tiene ecolocalización marina?,Delfín,Atún,Foca,Pez espada,Muy Difícil,Naturaleza
¿Dónde está el desierto de Kyzylkum?,Asia Central,Sáhara,Gobi,Atacama,Muy Difícil,Geografía
¿Qué elemento tiene número atómico 48?,Cadmio,Indio,Estaño,Plata,Muy Difícil,Ciencia
¿Qué civilización construyó Hattusa?,Hitita,Asiria,Sumeria,Persa,Muy Difícil,Historia
¿Qué animal puede vivir congelado?,Rana de madera,Serpiente,Caracol,Pez,Muy Difícil,Naturaleza
¿Dónde se encuentra el monte Damavand?,Irán,Turquía,Armenia,Georgia,Muy Difícil,Geografía
¿Qué científico formuló la ley de la inercia?,Galileo,Newton,Kepler,Descartes,Muy Difícil,Ciencia
¿Qué reino africano dominó Cartago?,Fenicio,Romano,Etrusco,Griego,Muy Difícil,Historia
¿Qué animal puede regenerar tejidos nerviosos?,Planaria,Lagarto,Rana,Pulpo,Muy Difícil,Naturaleza
¿Dónde se encuentra el mar de Ross?,Antártida,Ártico,Pacífico,Índico,Muy Difícil,Geografía
Pregunta,RespuestaCorrecta,Opcion2,Opcion3,Opcion4,Dificultad,Categoria
¿Cuál es la capital de Noruega?,Oslo,Bergen,Trondheim,Stavanger,Fácil,Geografía
¿Qué animal tiene trompa?,Elefante,Rinoceronte,Tapir,Hipopótamo,Fácil,Naturaleza
¿Cuántos meses tiene un año?,Doce,Diez,Once,Trece,Fácil,Ciencia
¿Quién fue Cristóbal Colón?,Explorador,Rey,Pintor,Científico,Fácil,Historia
¿Qué planeta es el más frío?,Neptuno,Urano,Saturno,Júpiter,Fácil,Ciencia
¿En qué continente está Perú?,América del Sur,Europa,Asia,África,Fácil,Geografía
¿Qué animal produce lana?,Oveja,Cabra,Vaca,Conejo,Fácil,Naturaleza
¿Cuál es el estado del agua en vapor?,Gaseoso,Líquido,Sólido,Plasma,Fácil,Ciencia
¿En qué país está Machu Picchu?,Perú,Bolivia,Ecuador,Chile,Fácil,Historia
¿Qué sentido usamos para oler?,Olfato,Vista,Gusto,Tacto,Fácil,Ciencia
¿Qué océano es el más profundo?,Pacífico,Atlántico,Índico,Ártico,Fácil,Geografía
¿Qué animal es un ave?,Águila,Perro,Gato,Serpiente,Fácil,Naturaleza
¿Quién fue Napoleón Bonaparte?,General francés,Rey inglés,Papa,Explorador,Fácil,Historia
¿Qué fuerza nos mantiene en el suelo?,Gravedad,Magnetismo,Presión,Inercia,Fácil,Ciencia
¿Cuántos polos tiene la Tierra?,Dos,Uno,Tres,Cuatro,Fácil,Geografía
¿En qué país está el volcán Etna?,Italia,Grecia,Islandia,España,Media,Geografía
¿Qué animal es carnívoro?,Tigre,Vaca,Oveja,Caballo,Media,Naturaleza
¿Qué científico desarrolló la teoría heliocéntrica?,Copérnico,Galileo,Newton,Kepler,Media,Ciencia
¿Qué civilización construyó Palenque?,Maya,Azteca,Olmeca,Inca,Media,Historia
¿Qué río cruza Alemania?,Rin,Loira,Danubio,Elba,Media,Geografía
¿Qué molécula transporta oxígeno en la sangre?,Hemoglobina,Glucosa,Insulina,Plasma,Media,Ciencia
¿Qué animal vive en colonias?,Hormiga,Tigre,Serpiente,Águila,Media,Naturaleza
¿Quién fue Alejandro Magno?,Conquistador macedonio,Emperador romano,Faraón,Rey persa,Media,Historia
¿Qué país tiene más islas?,Suecia,Indonesia,Filipinas,Noruega,Media,Geografía
¿Qué gas causa efecto invernadero?,Dióxido de carbono,Oxígeno,Nitrógeno,Helio,Media,Ciencia
¿Qué animal es un reptil?,Cocodrilo,Rana,Paloma,Gato,Media,Naturaleza
¿Quién escribió La Ilíada?,Homero,Platón,Sócrates,Aristóteles,Media,Historia
¿Qué mar separa Europa de África?,Mediterráneo,Rojo,Negro,Báltico,Media,Geografía
¿Qué órgano produce insulina?,Páncreas,Hígado,Corazón,Riñón,Media,Ciencia
¿Qué animal puede vivir en agua dulce y salada?,Salmón,Tiburón,Ballena,Atún,Media,Naturaleza
¿Dónde está el desierto de Sonora?,México y EEUU,Sudán,China,Australia,Muy Difícil,Geografía
¿Qué elemento tiene símbolo In?,Indio,Iridio,Yodo,Hierro,Muy Difícil,Ciencia
¿Qué cultura construyó Monte Albán?,Zapoteca,Maya,Azteca,Olmeca,Muy Difícil,Historia
¿Qué animal puede entrar en criptobiosis?,Tardígrado,Escarabajo,Rata,Serpiente,Muy Difícil,Naturaleza
¿Dónde se encuentra el mar de Chukchi?,Ártico,Pacífico,Atlántico,Índico,Muy Difícil,Geografía
¿Qué científico descubrió los rayos X?,Röntgen,Curie,Becquerel,Fermi,Muy Difícil,Ciencia
¿Qué imperio construyó Persépolis?,Persa,Asirio,Babilónico,Medo,Muy Difícil,Historia
¿Qué animal tiene electrorecepción?,Tiburón,Delfín,Foca,Orca,Muy Difícil,Naturaleza
¿Dónde está el desierto de Namib?,Namibia,Chad,Níger,Egipto,Muy Difícil,Geografía
¿Qué elemento tiene número atómico 63?,Europio,Samario,Terbio,Neodimio,Muy Difícil,Ciencia
¿Qué civilización construyó Ugarit?,Cananea,Fenicia,Hitita,Sumeria,Muy Difícil,Historia
¿Qué animal puede regenerar su sistema digestivo?,Pepino de mar,Estrella de mar,Salamandra,Medusa,Muy Difícil,Naturaleza
¿Dónde se encuentra el monte Ararat?,Turquía,Irán,Armenia,Georgia,Muy Difícil,Geografía
¿Qué científico formuló la teoría del caos?,Lorenz,Poincaré,Newton,Laplace,Muy Difícil,Ciencia
¿Qué reino africano controló Kilwa?,Swahili,Mali,Aksum,Songhai,Muy Difícil,Historia
¿Qué animal puede sobrevivir deshidratado?,Rana del desierto,Serpiente,Camello,Escorpión,Muy Difícil,Naturaleza
¿Dónde se encuentra el mar de Weddell?,Antártida,Ártico,Pacífico,Índico,Muy Difícil,Geografía
Pregunta,RespuestaCorrecta,Opcion2,Opcion3,Opcion4,Dificultad,Categoria
¿Cuál es la capital de Austria?,Viena,Graz,Salzburgo,Linz,Fácil,Geografía
¿Qué animal tiene manchas?,Leopardo,Cebra,Jirafa,Okapi,Fácil,Naturaleza
¿Cuántos lados tiene un cuadrado?,Cuatro,Tres,Cinco,Seis,Fácil,Ciencia
¿Quién fue Hernán Cortés?,Conquistador,Filósofo,Rey,Pintor,Fácil,Historia
¿Qué planeta es conocido por sus vientos?,Neptuno,Marte,Venus,Saturno,Fácil,Ciencia
¿En qué continente está Chile?,América del Sur,Europa,Asia,África,Fácil,Geografía
¿Qué animal es herbívoro?,Vaca,León,Tigre,Lobo,Fácil,Naturaleza
¿Cuál es la fase sólida del agua?,Hielo,Vapor,Lluvia,Niebla,Fácil,Ciencia
¿En qué país está Atenas?,Grecia,Italia,Turquía,Chipre,Fácil,Historia
¿Qué sentido usamos para saborear?,Gusto,Vista,Oído,Tacto,Fácil,Ciencia
¿Qué océano está al oeste de América?,Pacífico,Atlántico,Índico,Ártico,Fácil,Geografía
¿Qué animal pone huevos y vuela?,Ave,Murciélago,Gallina,Pingüino,Fácil,Naturaleza
¿Quién fue Abraham Lincoln?,Presidente de EEUU,Rey inglés,General francés,Filósofo,Fácil,Historia
¿Qué fuerza hace caer los objetos?,Gravedad,Magnetismo,Empuje,Inercia,Fácil,Ciencia
¿Cuántas estaciones tiene el año?,Cuatro,Tres,Cinco,Dos,Fácil,Geografía
¿En qué país está el monte Kilimanjaro?,Tanzania,Kenia,Uganda,Etiopía,Media,Geografía
¿Qué animal es omnívoro?,Oso,León,Vaca,Caballo,Media,Naturaleza
¿Qué científico formuló las leyes del movimiento?,Newton,Galileo,Kepler,Einstein,Media,Ciencia
¿Qué civilización construyó Tikal?,Maya,Azteca,Inca,Olmeca,Media,Historia
¿Qué río cruza Budapest?,Danubio,Rin,Elba,Vístula,Media,Geografía
¿Qué elemento es esencial para los huesos?,Calcio,Hierro,Potasio,Sodio,Media,Ciencia
¿Qué animal migra largas distancias?,Mariposa monarca,León,Oso,Gato,Media,Naturaleza
¿Quién fue Gengis Kan?,Conquistador mongol,Emperador romano,Faraón,Rey inglés,Media,Historia
¿Qué país es el más grande de África?,Argelia,Sudán,Nigeria,Chad,Media,Geografía
¿Qué gas es inflamable?,Hidrógeno,Oxígeno,Nitrógeno,Argón,Media,Ciencia
¿Qué animal es venenoso?,Medusa,Perro,Gato,Caballo,Media,Naturaleza
¿Quién escribió La Odisea?,Homero,Virgilio,Platón,Aristóteles,Media,Historia
¿Qué mar es interior?,Mar Caspio,Mar Rojo,Mar del Norte,Mar Caribe,Media,Geografía
¿Qué órgano produce bilis?,Hígado,Páncreas,Estómago,Intestino,Media,Ciencia
¿Qué animal vive en arrecifes?,Pez payaso,Atún,Carpa,Lucio,Media,Naturaleza
¿Dónde está el desierto de Karakum?,Turkmenistán,Irán,Irak,Omán,Muy Difícil,Geografía
¿Qué elemento tiene símbolo Tb?,Terbio,Telurio,Titanio,Tántalo,Muy Difícil,Ciencia
¿Qué cultura construyó El Tajín?,Totonaca,Olmeca,Maya,Azteca,Muy Difícil,Historia
¿Qué animal resiste presiones extremas?,Anfípodo abisal,Cangrejo,Calamar,Pez espada,Muy Difícil,Naturaleza
¿Dónde se encuentra el mar de Barents?,Ártico,Atlántico,Índico,Pacífico,Muy Difícil,Geografía
¿Qué científico formuló la mecánica cuántica matricial?,Heisenberg,Schrödinger,Dirac,Bohr,Muy Difícil,Ciencia
¿Qué imperio tuvo capital en Nínive?,Asirio,Babilónico,Persa,Hitita,Muy Difícil,Historia
¿Qué animal detecta infrasonidos?,Elefante,Perro,Gato,Caballo,Muy Difícil,Naturaleza
¿Dónde está el desierto de Kalahari?,África austral,Sáhara,Gobi,Atacama,Muy Difícil,Geografía
¿Qué elemento tiene número atómico 72?,Hafnio,Tántalo,Wolframio,Renio,Muy Difícil,Ciencia
¿Qué civilización construyó Tepe Sialk?,Elamita,Sumeria,Asiria,Hitita,Muy Difícil,Historia
¿Qué animal puede regenerar brazos?,Estrella de mar,Pulpo,Cangrejo,Langosta,Muy Difícil,Naturaleza
¿Dónde se encuentra el monte Kosciuszko?,Australia,Nueva Zelanda,Indonesia,Papúa,Muy Difícil,Geografía
¿Qué científico descubrió la ley de Avogadro?,Avogadro,Dalton,Boyle,Gay-Lussac,Muy Difícil,Ciencia
¿Qué reino africano controló Benín antiguo?,Edo,Yoruba,Mali,Songhai,Muy Difícil,Historia
¿Qué animal puede sobrevivir en agua salobre?,Cangrejo violinista,Delfín,Atún,Ballena,Muy Difícil,Naturaleza
¿Dónde se encuentra el mar de Scotia?,Antártida,Ártico,Pacífico,Índico,Muy Difícil,Geografía
Pregunta,RespuestaCorrecta,Opcion2,Opcion3,Opcion4,Dificultad,Categoria
¿Cuál es la capital de Bélgica?,Bruselas,Amberes,Gante,Lieja,Fácil,Geografía
¿Qué animal tiene cuello largo?,Jirafa,Cebra,Camello,Alce,Fácil,Naturaleza
¿Cuántos minutos tiene una hora?,Sesenta,Cincuenta,Setenta,Cuarenta,Fácil,Ciencia
¿Quién fue Julio Verne?,Escritor,Científico,Pintor,Explorador,Fácil,Historia
¿Qué planeta es el más cercano a la Tierra?,Venus,Marte,Mercurio,Júpiter,Fácil,Ciencia
¿En qué continente está Colombia?,América del Sur,Europa,Asia,África,Fácil,Geografía
